idx,filename,temperature [C],flecha [mm],global time
0,0_mm_30.60_grados_1_0,30.6,0,"2022,03,03,13:41:27"
0,0_mm_30.60_grados_2_0,30.6,0,"2022,03,03,13:41:40"
0,0_mm_149.90_grados_1_0,149.9,0,"2022,03,03,14:20:32"
0,0_mm_150.10_grados_2_0,150.1,0,"2022,03,03,14:20:45"
0,0_mm_30.40_grados_1_0,30.4,0,"2022,03,03,18:46:08"
0,0_mm_30.40_grados_2_0,30.4,0,"2022,03,03,18:46:20"
0,0_mm_180.10_grados_1_0,180.1,0,"2022,03,03,19:34:28"
0,0_mm_180.10_grados_2_0,180.1,0,"2022,03,03,19:34:41"
0,0_mm_30.50_grados_1_0,30.5,0,"2022,03,04,00:17:29"
0,0_mm_30.50_grados_2_0,30.5,0,"2022,03,04,00:17:42"
0,0_mm_200.40_grados_1_0,200.4,0,"2022,03,04,01:15:39"
0,0_mm_200.40_grados_2_0,200.4,0,"2022,03,04,01:15:52"
0,0_mm_0.00_grados_1_0,0.0,0,"2022,03,04,10:30:47"
0,0_mm_30.00_grados_2_0,30.0,0,"2022,03,04,10:31:01"
1,0_mm_0.00_grados_1_1,0.0,0,"2022,03,04,10:37:12"
1,0_mm_35.10_grados_2_1,35.1,0,"2022,03,04,10:37:26"
2,0_mm_39.80_grados_1_2,39.8,0,"2022,03,04,10:43:52"
2,0_mm_39.90_grados_2_2,39.9,0,"2022,03,04,10:44:06"
3,0_mm_0.00_grados_1_3,0.0,0,"2022,03,04,10:51:07"
3,0_mm_45.10_grados_2_3,45.1,0,"2022,03,04,10:51:21"
4,0_mm_50.00_grados_1_4,50.0,0,"2022,03,04,10:58:17"
4,0_mm_50.10_grados_2_4,50.1,0,"2022,03,04,10:58:31"
5,0_mm_55.20_grados_1_5,55.2,0,"2022,03,04,11:05:42"
5,0_mm_55.20_grados_2_5,55.2,0,"2022,03,04,11:05:56"
0,0_mm_0.00_grados_1_0,0.0,0,"2022,03,04,11:18:12"
0,0_mm_60.00_grados_2_0,60.0,0,"2022,03,04,11:18:26"
1,0_mm_0.00_grados_2_1,0.0,0,"2022,03,04,11:26:42"
1,0_mm_65.40_grados_1_1,65.4,0,"2022,03,04,11:26:56"
5,0_mm_85.10_grados_2_5,85.1,0,"2022,03,04,11:59:27"
5,0_mm_85.10_grados_1_5,85.1,0,"2022,03,04,11:59:41"
0,0_mm_0.00_grados_1_0,0.0,0,"2022,03,04,12:32:27"
0,0_mm_59.90_grados_2_0,59.9,0,"2022,03,04,12:32:41"
1,0_mm_65.20_grados_1_1,65.2,0,"2022,03,04,12:40:27"
1,0_mm_65.20_grados_2_1,65.2,0,"2022,03,04,12:40:41"
2,0_mm_0.00_grados_1_2,0.0,0,"2022,03,04,12:47:37"
2,0_mm_70.10_grados_2_2,70.1,0,"2022,03,04,12:47:51"
3,0_mm_0.00_grados_1_3,0.0,0,"2022,03,04,12:54:47"
3,0_mm_74.90_grados_2_3,74.9,0,"2022,03,04,12:55:01"
4,0_mm_0.00_grados_1_4,0.0,0,"2022,03,04,13:02:27"
4,0_mm_80.00_grados_2_4,80.0,0,"2022,03,04,13:02:41"
5,0_mm_0.00_grados_1_5,0.0,0,"2022,03,04,13:10:22"
5,0_mm_85.10_grados_2_5,85.1,0,"2022,03,04,13:10:36"
0,0_mm_0.00_grados_1_0,0.0,0,"2022,03,04,13:19:27"
0,0_mm_90.20_grados_2_0,90.2,0,"2022,03,04,13:19:41"
1,0_mm_95.10_grados_1_1,95.1,0,"2022,03,04,13:27:27"
1,0_mm_95.20_grados_2_1,95.2,0,"2022,03,04,13:27:41"
2,0_mm_100.10_grados_1_2,100.1,0,"2022,03,04,13:36:07"
2,0_mm_100.10_grados_2_2,100.1,0,"2022,03,04,13:36:21"
3,0_mm_105.00_grados_1_3,105.0,0,"2022,03,04,13:44:32"
3,0_mm_105.00_grados_2_3,105.0,0,"2022,03,04,13:44:46"
4,0_mm_0.00_grados_1_4,0.0,0,"2022,03,04,13:53:12"
4,0_mm_110.00_grados_2_4,110.0,0,"2022,03,04,13:53:26"
5,0_mm_114.90_grados_1_5,114.9,0,"2022,03,04,14:02:42"
5,0_mm_114.80_grados_2_5,114.8,0,"2022,03,04,14:02:56"
0,0_mm_119.80_grados_1_0,119.8,0,"2022,03,04,14:15:32"
0,0_mm_119.80_grados_2_0,119.8,0,"2022,03,04,14:15:46"
1,0_mm_124.50_grados_1_1,124.5,0,"2022,03,04,14:25:32"
1,0_mm_124.40_grados_2_1,124.4,0,"2022,03,04,14:25:46"
2,0_mm_0.00_grados_1_2,0.0,0,"2022,03,04,14:35:37"
2,0_mm_129.80_grados_2_2,129.8,0,"2022,03,04,14:35:51"
3,0_mm_0.00_grados_1_3,0.0,0,"2022,03,04,14:46:17"
3,0_mm_135.10_grados_2_3,135.1,0,"2022,03,04,14:46:31"
4,0_mm_139.90_grados_1_4,139.9,0,"2022,03,04,14:56:52"
4,0_mm_139.90_grados_2_4,139.9,0,"2022,03,04,14:57:06"
5,0_mm_144.50_grados_1_5,144.5,0,"2022,03,04,15:07:53"
5,0_mm_144.50_grados_2_5,144.5,0,"2022,03,04,15:08:07"
0,0_mm_0.00_grados_1_0,0.0,0,"2022,03,04,15:21:43"
0,0_mm_150.00_grados_2_0,150.0,0,"2022,03,04,15:21:57"
1,0_mm_0.00_grados_1_1,0.0,0,"2022,03,04,15:33:23"
1,0_mm_154.40_grados_2_1,154.4,0,"2022,03,04,15:33:37"
2,0_mm_0.00_grados_1_2,0.0,0,"2022,03,04,15:46:33"
